_id,id,activity,aerobic,metValue,intensityLevel,name,category,muscles,equipment,images,img_url
6173296d343c73779c4208ed,co_38,conditioning exercise,o,2.3,2,stretching,,,,,
6173296d343c73779c4208ee,co_39,conditioning exercise,o,3,2,pilates,,,,,
6173296d343c73779c4208f0,co_41,conditioning exercise,o,2.8,2,therapeutic exercise ball,,,,,
6173296e343c73779c4208f1,co_42,conditioning exercise,o,2.8,2,upper body exercise,,,,,
6173296e343c73779c4208f5,co_46,conditioning exercise,o,2.3,2,video exercise workouts,,,,,
6173296f343c73779c4208f8,co_49,conditioning exercise,o,2.5,2,yoga,,,,,
617329b4343c73779c420ac0,sp_13,sports,o,3,2,bowling,,,,,
617329b8343c73779c420ad9,sp_38,sports,o,3,2,golf,,,,,
617329bb343c73779c420aed,sp_58,sports,o,3,2,horseshoe pitching,,,,,
617329c2343c73779c420b1b,sp_104,sports,o,3,2,tai chi,,,,,
617329c4343c73779c420b26,sp_115,sports,o,3,2,volleyball,,,,,
617329cb343c73779c420b55,wa_32,walking,o,2.8,2,walking,,,,,
617329d0343c73779c420b78,wa_11,water activities,o,3,2,diving,,,,,
617329d2343c73779c420b84,wa_23,water activities,o,3,2,surfing,,,,,
617329d5343c73779c420b99,wa_44,water activities,o,3,2,water volleyball,,,,,
61732965343c73779c4208ba,bi_5,bicycling,o,4,3,bicycling,,,,,
6173296f343c73779c4208f9,co_50,conditioning exercise,o,4,3,yoga,,,,,
617329b4343c73779c420ac1,sp_14,sports,o,3.8,3,bowling,,,,,
617329b6343c73779c420acb,sp_24,sports,o,3.3,3,croquet,,,,,
617329b6343c73779c420acc,sp_25,sports,o,4,3,curling,,,,,
617329b7343c73779c420ad3,sp_32,sports,o,4,3,football,,,,,
617329b8343c73779c420adb,sp_40,sports,o,3.5,3,golf,,,,,
617329b8343c73779c420adc,sp_41,sports,o,3.8,3,gymnastics,,,,,
617329b9343c73779c420add,sp_42,sports,o,4,3,hacky sack,,,,,
617329bb343c73779c420aea,sp_55,sports,o,3.8,3,horseback riding,,,,,
617329c0343c73779c420b10,sp_93,sports,o,3.5,3,skydiving,,,,,
617329c1343c73779c420b14,sp_97,sports,o,4,3,softball,,,,,
617329c2343c73779c420b1a,sp_103,sports,o,4,3,table tennis,,,,,
617329c3343c73779c420b22,sp_111,sports,o,3.5,3,trampoline,,,,,
617329c3343c73779c420b24,sp_113,sports,o,4,3,volleyball,,,,,
617329cc343c73779c420b5b,wa_38,walking,o,3.3,3,walking,,,,,
617329cf343c73779c420b70,wa_3,water activities,o,4,3,canoeing,,,,,
617329d5343c73779c420b95,wa_40,water activities,o,3.5,3,swimming,,,,,
61732965343c73779c4208bb,bi_6,bicycling,o,6.8,6,bicycling,,,,,
6173296c343c73779c4208e7,co_32,conditioning exercise,o,7,6,rowing,,,,,
6173296d343c73779c4208ea,co_35,conditioning exercise,o,6.8,6,ski machine,,,,,
617329ad343c73779c420a8e,ru_2,running,o,7,6,jogging,,,,,
617329af343c73779c420aa1,ru_21,running,o,8,6,running,,,,,
617329b3343c73779c420ab6,sp_3,sports,o,7,6,badminton,,,,,
617329b3343c73779c420ab8,sp_5,sports,o,8,6,basketball,,,,,
617329b5343c73779c420ac4,sp_17,sports,o,7.8,6,boxing,,,,,
