순위,제목,가수,앨범명,좋아요 수
86위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"379,224"
87위,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고,"225,301"
88위,서랍,10CM,그 해 우리는 OST Part.1,"54,995"
89위,롤린 (Rollin'),브레이브걸스,Rollin',"292,941"
90위,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,"170,546"
91위,Christmas Tree,V,그 해 우리는 OST Part.5,"89,730"
92위,DAYDREAM,하이라이트 (Highlight),DAYDREAM,"30,794"
93위,언덕나무,이승윤,그 해 우리는 OST Part.7,"51,577"
94위,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle),"83,172"
95위,그대가 있기에,노을,그대가 있기에,"6,472"
96위,겨울잠,아이유,조각집,"102,432"
97위,나는 트로트가 싫어요,임창정,별거 없던 그 하루로,"21,005"
98위,Can't Control Myself,태연 (TAEYEON),Can't Control Myself,"66,967"
99위,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져,"13,738"
100위,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,"379,881"
