id,uuid,exercise_base,image
175,5cde2690-cfc2-488a-9ced-300c4162fbc2,568,https://wger.de/media/exercise-images/152/seated-shoulder-press-machine-large-1.png
177,4371e111-5b1f-4679-968e-bb5d9a48ebe2,348,https://wger.de/media/exercise-images/148/lateral-dumbbell-raises-large-2.png
179,fd35994a-70b4-4ca4-b236-12c178062996,365,https://wger.de/media/exercise-images/154/lying-leg-curl-machine-large-1.png
181,1fbfbec9-2431-45db-8ca7-a8e477add80f,366,https://wger.de/media/exercise-images/117/seated-leg-curl-large-1.png
183,aa645b51-beb3-4397-94d6-d1abee8be6db,367,https://wger.de/media/exercise-images/118/standing-leg-curls-large-1.png
189,2962fe6a-6998-4f0f-ac11-9da1dc3bfc5b,105,https://wger.de/media/exercise-images/231/Standing-biceps-curl-1.png
195,e07c2ca5-a85f-4921-b590-39de7aa9b62a,543,https://wger.de/media/exercise-images/53/Shoulder-press-machine-2.png
209,661e609d-be8c-4e08-add7-e356e4a76b21,361,https://wger.de/media/exercise-images/244/Close-grip-front-lat-pull-down-2.png
4,0fdc1eea-07d1-4d01-8d89-6c39673dcbed,167,https://wger.de/media/exercise-images/91/Crunches-2.png
8,1cdfd1d7-4cfc-424f-99bd-a851655355fc,427,https://wger.de/media/exercise-images/93/Decline-crunch-2.png
12,046ad15d-e908-43b9-91e2-b8223d4322fa,301,https://wger.de/media/exercise-images/128/Hyperextensions-2.png
16,4b3c5bf6-ea2a-4fa4-a3cb-98979c1f380a,76,https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-2.png
20,061cf07e-96a3-4063-8bd5-7abcdb047a99,95,https://wger.de/media/exercise-images/129/Standing-biceps-curl-2.png
24,13fbda16-5ef6-4f48-b58c-954c3078001c,92,https://wger.de/media/exercise-images/81/Biceps-curl-2.png
28,c9fee9d3-0b0e-40ae-a9c7-a4033781ea3b,91,https://wger.de/media/exercise-images/74/Bicep-curls-2.png
32,5518e8dc-39e9-49ff-b70e-69a2552b7d79,195,https://wger.de/media/exercise-images/82/Tricep-dips-2-2.png
36,e543fb73-06d0-4e1b-8645-d5706da9504a,197,https://wger.de/media/exercise-images/83/Bench-dips-2.png
40,5f318812-108b-402c-bca3-6e409af076c7,572,https://wger.de/media/exercise-images/151/Dumbbell-shrugs-1.png
44,11db76be-b05f-4dae-8d2a-2b3135cc88b5,571,https://wger.de/media/exercise-images/150/Barbell-shrugs-2.png
48,75382eaf-468f-4c21-8710-6bf475d8ecc2,272,https://wger.de/media/exercise-images/86/Bicep-hammer-curl-2.png
52,b2fde283-2a29-4951-8f64-442785c03078,275,https://wger.de/media/exercise-images/138/Hammer-curls-with-rope-2.png
57,57e8edbe-365b-4824-b2e4-b4de197c7628,482,https://wger.de/media/exercise-images/195/Push-ups-2.png
61,c205b132-b4f1-4e2c-b869-9b3f897bda9c,246,https://wger.de/media/exercise-images/84/Lying-close-grip-triceps-press-to-chin-2.png
63,6be5368f-5b4b-40b8-b32d-7c201cffd119,665,https://wger.de/media/exercise-images/45/Seated-triceps-press-2.png
67,af848376-3db3-4b16-a056-4aa936d49da4,268,https://wger.de/media/exercise-images/116/Good-mornings-1.png
70,41e5c58e-0325-4620-8d96-7372cc4dae8c,73,https://wger.de/media/exercise-images/192/Bench-press-2.png
71,bcac14cc-1207-48a2-adde-aaaac1ee8840,521,https://wger.de/media/exercise-images/62/Barbell-upright-rows-1.png
75,b2c5a9f9-8beb-41f7-841c-9664d22a427e,154,https://wger.de/media/exercise-images/181/Chin-ups-1.png
78,6906390d-8c73-4d99-bb7a-352a7e50bb67,641,https://wger.de/media/exercise-images/76/T-bar-row-2.png
79,b4dfc3fb-c049-418f-855d-23ab6c39d906,513,https://wger.de/media/exercise-images/106/T-bar-row-2.png
89,87733a46-17db-4ca1-b2dc-80c5976a5627,525,https://wger.de/media/exercise-images/70/Reverse-grip-bent-over-rows-2.png
90,492ce9c7-12cf-4378-aca4-fe008dea5dd4,83,https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-2.png
92,3c774680-b68c-4b1c-a150-4858783661c7,84,https://wger.de/media/exercise-images/110/Reverse-grip-bent-over-rows-2.png
94,c91ed07b-630b-427d-94cc-c55cdb71024a,465,https://wger.de/media/exercise-images/193/Preacher-curl-3-2.png
