폰모델 제목,가격,등록시간,내용
당일발송# 아이폰6S 16G/32G/64G 등급별 중고폰 공기계,"115,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟5월 1일~ 5~31일 한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟  아이폰 6S  💟💟⭕️SS급 : 16G - 13.2만원                 32G - 14.3만원                 64G - 14.9만원 [미세한 생활기스만 있는 새폰 컨디션!]⭕️S급 : 16G - 11.9만원               32G - 13.2만원               64G - 13.8만원[SS급 컨디션에서 미세 사용감 있음!]⭕️A급 : 16G - 11.5만원               32G - 12.7만원               64G - 13.2만원[사용감있지만 기능&가성비 최고!]⭕️ B급 :  16G - 재고없음                32G - 재고없음                64G - 재고없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 로즈골드,스페이스그레이,실버,골드•기가수 :  16G/64G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시S20울트라 G988 256기가 블랙 인천 서구 중고폰,"340,000",1시간 전,"1.제품정보-기기명: 갤럭시S20울트라 SM-G988L​-색상: 블랙 (63970)-최초 개통 통신사: LG (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 4월-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리,뒷면 사용감있고 유리쪽은 깨긋합니다.액정화면은 크게 티나지 않는 약한 잔상 조금 있습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장"
갤럭시와이드5 E426 128기가 블랙 인천 서구 중고폰,"170,000",1시간 전,1.제품정보-기기명: 갤럭시와이드5 SM-E426S 128기가​-색상: 블랙 (46810)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 22년 3월-제품상태: 사용감있음-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리와 뒷면 사용감외 전체적으로 깨긋합니다.액정화면은 새액정 교체로 상태좋습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 청라)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
노트10플러스 N976 256기가 아우라글로우 인천 서구 중고폰,"320,000",1시간 전,1.제품정보-기기명: 노트10플러스 SM-N976S​-색상: 아우라글로우 (16706)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-제품상태: 사용감있음-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리 약한 사용감외 전체적으로 깨긋합니다.액정화면은 잔상없고 화면 이상없습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
갤럭시S20 A급 G981 128기가 그레이 인천 서구 중고폰,"290,000",1시간 전,"1.제품정보-기기명: 갤럭시S20 SM-G981L 128기가​-색상: 그레이 (91872)-최초 개통 통신사: LG (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 8월-제품상태: A-급-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리,뒷면 미세한 생활잔기스 외 전체적인 상태 깨끗합니다.액정화면은 잔상없고 화면 깨끗합니다.그외 모든 기능 정상입니다.​3.거래방식직거래(인천 서구 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로 177 (석남동 581-14) 1층 휴대폰할인매장"
#대량판매# 갤럭시S21플러스 256G 등급별 중고폰 공기계!,"435,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟   갤럭시 S21 플러스   💟💟⭕️SS급 : 256G - 50.5만원[새 폰 처럼 보이는 MAGIC!]⭕️S급 : 256G -  48.5만원[완전깨끗한S급!]⭕️A급 : 256G - 43.5만원[사용감있지만 기능&가성비 최고!]⭕️B급 : 256G -  당분간없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 실버,핑크,바이올렛•기가수 :  256G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•알뜰폰[유심만 변경하면 바로 사용 가능]🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
(새상품) 아이폰13 프로맥스 128기가 미개봉 알파인그린,"1,360,000",1시간 전,새상품 미개봉 아이폰 13 프로맥스 128기가 알파인그린입니다.현재 아이폰 13프로 사용중이라 판매해요목포시 석현동 직거래 혹은 택배거래 해요제조년 22년 6월 신상입니다!
아이폰 13프로 골드 128 미개봉 판매합니다,"1,150,000",1시간 전,미개봉입니다 연락주세요
갤럭시노트10플러스 512,"350,000",1시간 전,노트10플러스 512 팔아요.12기가 넘사벽 메모리넓은 화면아름다운 아우라글로우 직접 보시구 가셔가시면 제일 좋습니다. 생활기스 정도 있구요 나머지다 정상 작동 됩니다. 대구 직거래 환영합니다
갤럭시A31 A315 64기가 블랙 인천 서구 중고폰,"110,000",1시간 전,1.제품정보-기기명: 갤럭시A31 SM-A315L 64기가​-색상 : 블랙 (38942)-최초개통일: 20년 7월-구성품: 기기단품+필름+케이스​2.제품설명외관상태는 약한 사용감외 전체적으로 찍힘없이 깨긋합니다.액정화면도 잔상없고 화면 깨끗합니다.그 외에 모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
