폰모델 제목,가격,등록시간,내용
아이폰12프로 ,800000,2시간 전,"아이폰 12 프로 그래파이트 128기가 입니다

하자없고 배터리성능상태 98%입니다

"
아이폰 12pro 그래파이트,800000,2시간 전,"아이폰 12 프로 그래파이트 128기가 입니다

하자없고 배터리성능상태 98%입니다

아이폰 미니나 갤럭시z플립과 교환합니다(무하자 배터리성능 99이상만 연락주세요)

"
[1191] A급)갤럭시A90 128기가 블랙,160000,2시간 전,"상품번호 [1191]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

이전통신사 LGU+단말기입니다.
통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정깨끗.잔상 무.
외관은 실사사진 참조.A급~!!

최초통화일: 2020.11.05

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 16만원입니다.
네고x x x 

***-****-****"
#bts올수리# 갤럭시s20플러스 bts 올수리 센터판 새제품상태,460000,2시간 전,"전국 최저가 중고폰 판매업체
번개장터 전문상점 중고나라 최고회원
전문 중고폰 판매업체
실제보유 재고만 판매합니다
모든기기 직접찍은 보유재고 기기입니다
기기 불량시 100% 교환환불

택배거래,직거래,퀵거래(고객부담) 모두가능 합니다.

갤럭시s20플러스 bts에디션 센터올수리 제품
액정 배터리 테두리 후면 전체 수리완료
새상품이랑 똑같은 상태
모든통신사 선불폰 알뜰폰 사용가능합니다.
선택약정 사용가능합니다.
고속충전기 하나 같이 드립니다."
#센터올수리리퍼폰# 갤럭시s20 센터 올수리 액정배터리테두리후면,380000,2시간 전,"전국 최저가 중고폰 판매업체
번개장터 전문상점 중고나라 최고회원
전문 중고폰 판매업체
실제보유 재고만 판매합니다
모든기기 직접찍은 보유재고 기기입니다
기기 불량시 100% 교환환불

택배거래,직거래,퀵거래(고객부담) 모두가능 합니다.

갤럭시s20 센터올수리 제품
액덩 배터리 테두리 후면 전체 수리완료
새상품이랑 똑같은 상태
모든통신사 선불폰 알뜰폰 사용가능합니다.
선택약정 사용가능합니다.
고속충전기 하나 같이 드립니다."
#최저가# 갤럭시z플립3 s급 최저가판매,600000,2시간 전,"전국 최저가 중고폰 판매업체
번개장터 전문상점 중고나라 최고회원
전문 중고폰 판매업체
실제보유 재고만 판매합니다
모든기기 직접찍은 보유재고 기기입니다
기기 불량시 100% 교환환불

택배거래,직거래,퀵거래(고객부담) 모두가능 합니다.

갤럭시z플립3 판매합니다. 최초개통 21년9월
모든통신사 선불폰 알뜰폰 사용가능합니다.
선택약정 사용가능합니다.
외관 사진과 같이 깨끗합니다.
외부 내부 보호필름 붙오있습니다.
고속충전기 하나 같이 드립니다."
갤럭시z플립3 최저가판매,450000,2시간 전,"갤락시z플립3 판매합니다.
개통 2021년 8월입니다.
최초통신사 kt입니다. 모든통신사 사용가능합니다.
모든기능 정상입니다.
선택약정 가능합니다.
다만 좌측중 끝에 검은멍 있습니다.
크지않아서 사용시 전혀 문제 안됩니다
구매시 충전기 하나 같이 드립니다.
택배거래 가능합니다."
갤럭시s9플러스 최저가판매,120000,2시간 전,"갤럭시s9플러스  최저가 판매합니다.
모든기능 정상입니다.
선택약정 가능합니다.
외관 찍힘 기스있습니다.
화면에 화소불량등 검은멍 있습니다.
번인현상있습니다.
구매시 충전기 하나 드립니다.
저렴하게 쓰실분들이나 세컨으로 쓰실분들한테 강추합니다.
직거래 택배거래 가능합니다.
개당가격입니다"
갤럭시z플립3 최저기판매,450000,2시간 전,"갤락시z플립3 판매합니다.
개통 2021년 11월입니다.
최초통신사 skt입니다. 모든통신사 사용가능합니다.
모든기능 정상입니다.
선택약정 가능합니다.
내부액정 필름붙어있습니다.
사진처럼 외부 깨끗합니다.
다만 우측하단쪽 끝에 검은멍 있습니다.
크지않아서 사용시 전혀 문제 안됩니다
구매시 충전기 하나 같이 드립니다.
택배거래 가능합니다."
갤럭시a52s sss급 최저가판매,340000,2시간 전,"갤럭시a52s 판매 합니다.
최초 통신사 kt,lg 제품입니다. 모든통신사 모든요금제 사용 가능합니다.
선택약정 가능합니다.
모든 기능 정상입니다.
외관 프레임 필름 다붙어있어 찍힘 기스없이 깨끗합니다.
번인현상 없습니다.
충전기 하나 드립니다.
직거래 택배거래 가능합니다."
