폰모델 제목,가격,등록시간,내용
[1221] 갤럭시S20 128기가 블루,250000,2시간 전,"상품번호 [1221]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

이전통신사 KT단말기입니다.
통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정깨끗.하단바 약잔상(마지막사진)
외관은 실사사진 참조.상태굿~!!

최초통화일: 2020.07.02

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 25만원입니다.
네고x x x 

***-****-****"
아이폰XS 256GB 실버 풀박스,380000,2시간 전,"아이폰XS 256GB 실버색상 팝니다

기기 정상 작동하며, 버튼, 액정, FACE ID, TRUE TONE 등 기능 모두 잘 작동합니다

정상해지됐고, 선택약정 및 확정기변 가능합니다

액정에 보이는 기스는 액정보호필름에 기스이며 벗기면 액정 깔끔합니다

현재 액정보호필름 붙어있는게 지저분해서 교체하시는걸 권장합니다

구성품 어댑터, 이어폰, 케이블, 애플스티커등 모두 미사용이며, 여분액정보호필름 2장, 실리콘 케이스 1개랑 사용했던 카드수납 케이스입니다

배터리 성능상태 78%이며, 외관상태는 사진참고해주시길 바랍니다

가격은 38만원에 판매하겠습니다

울산동구에서 직거래가능하며

택배거래시 4천원 추가입금해주시면 됩니다"
갤럭시노트10 N971 KT 레드 256GB 28만 64396 /수원,280000,2시간 전,"1.제품 > 갤럭시노트10 N971 KT 레드 256GB 28만
2.제품번호 > 64396 (구매시 꼭 제품번호 말씀해주세요)
2.통신사 > KT  (정상해지,호환가능,25%요금할인)
3.가격 > 28만
4.특이사항 > 외관(사진첨부)/기능문제(없음)/20210324개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
리퍼폰 최저가! 갤럭시 S21 울트라 모든색상 문의 가능 !,750000,2시간 전,"삼성 정식 서비스센터에서 액정 / 배터리 / 테두리 교체 후 미사용 폰입니다
일반 중고폰보다 비교적으로 매우 깨끗한 상태입니다


❎ 액정 : 기스하나 없이 깔끔합니다 (삼성 풀커버 초기필름 부착되어 있습니다)
❎ 테두리 : 마찬가지로 기스하나 없고 초기필름 부착되어 있습니다
❎ 배터리 : 새 것으로 교체해서 효율 100% 입니다
❎ 백글라스 : 백글라스는 열게되면 방수기능에 문제가 생길 수 있어서, 
교체된 제품들도 있고 교체되지 않은 제품들도 있습니다
❎ 기능 : 모든 기능 정상작동 확인 후 출고되며,
기능상 문제가 있다면 100% 교환 및 환불 가능합니다


🌈통신 3사 및 알뜰폰 선불폰 모두 호환 가능합니다.
단, 단말기와 유심의 통신사가 일치하지 않을 시,
NFC(삼성페이 , 모바일티머니)등 일부 기능이 제한 될 수 있습니다.



🎨사진과 별개로 어떤 색상이든 문의주세요!

🌻마찬가지로, 원하시는 통신사가 있으시다면 문의주세요!

⚙문의 가능 시간 오전 10:00 - 오후 7:00

📦택배 발송시에는 다량의 에어캡으로 안전하게 발송되오니, 믿고 구매하셔도 됩니다!

🙋‍♂️세종시 직거래 가능합니다!"
갤럭시 A125 화이트 단순개봉 정상해지 공기기,140000,2시간 전,"최초개통 21년 10월 SK였구요 단순개봉후
사용하지않고 보관후 유지기간지나 해지한 상태입니다 새것과 동일한 수준이구요
직거래시 인천 학익동 경서동 택배거래시 무료배송해드립니다^^"
갤럭시노트10 256기가 아우라글로우 정상해지 공기계 팝니다 00396,260000,2시간 전,"제품정보
기기명 : N971
통신사 : KT ( SK,KT, LGU+ 모든 통신사 사용가능함 )
제품상태 : 사진과 동일, 액정기스 있는데 필름은 서비스로 붙여드릴게요!
최초통화일 : 20 07 06
구성품 : 필름 + 케이스 ( 보유중인 기종만 가능. 문의주세요 ) 
기능 : 안되는거 없이 다 잘됩니다 
25% 선택약정 : 가능 ( 정상해지 공기계 ) 

제품설명
- 택배비는 선불3000원, 오후4시 이전 입금건 당일 발송
- 가격 조정 문의 절대 불가
- 중고 특성상 외관 생활기스 및 찍힘, 단순변심, 배터리 소모 등으로는 반품 및 교환 불가
- 7일 이내 기능 문제 있을시 수리나 교환 가능

거래방식
택배/직거래(부산대 매장방문)

주소 : 부산시 금정구 부산대학로45-1 CU편의점 지하1층
연락처 : 0 1 0 - 5 7 8 5 - 6 9 1 8
( 일하는중이라 가급적이면 문자나 카톡주세요 )

★★중고폰 매장이라 다른 기종도 많이 있습니다 ^^

★★글 제목에 상품번호 알려주시면 빠른 확인 가능해요"
갤럭시노트20 울트라 A급 256GB 브론즈 16681,580000,2시간 전,"상품번호: 16681
★상품문의 O1O-8061-8026
♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ 

○기기단품 
○외관등급 : A급(사용감있음)
○잔상: 무잔상
○용량 : 256GB
○색상 : 브론즈
○최초통신사 : SKT
○최초통화일 : 20.08.31
○25%선택약정가능 / 공기계
----------------------------------------------------
●제품설명●
기기상태는 사진과 동일합니다
외관등급 A급 , 무잔상 기기입니다
SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능
5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능
‐---------------------------------------------------
☆상품문의 O1O-8061-8026

◎모든 제품은 구매시 소독하여 발송합니다
◎거래방식
직거래:인천 주안역
택배거래:평일 16:00이전 입금확인시 당일발송"
갤럭시S22울트라 256기가 블랙 S급 풀박스 판매)부산중고폰 8321,950000,2시간 전,"★★제품설명 

 보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다

★★【중고폰은 쓰시던 유심칩만 끼우시면 바로사용 가능합니다】

 ★★제품설명  (보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다)

★★ 기 종 : 갤럭시S22울트라

★★ 용 량 : 256G

★★ 색 상 : 블랙

★★ 최초통신사 : KT
  
★★ 등급 : ★ S급 입니다  (사진참고).★

★★ 단말기 상태 : ★  S급 입니다 (사진참고)★

★★구성품 : 풀박스 입니다

★★ 가격 : 950,000

★★ 전체기능 : 모든기능정상작동(철저한 기능검수 완료!!)

★ SS급 : 신품과같은상태(기스X찍힘X)
★  S급: 약한생활기스만있는상태입니다
★  A급: 약간의찍힘 생활기스 있는상태입니다
★  B급: 잔상,멍, 심한찍힘 액정칼기스등의상태입니다.

★ 번호 : 0  1  0 - 7  9  2  0 - 9  8  0  1 

※필독해주세요※

※구입 후 단순변심으로 인한 교환 및 환불은 불가합니다.
  (단, 기능상 이상이 있을 경우 7일이내 교환 및 환불 해드립니다.)
※모든 상품은 입고시 1차검수 출고시 2차검수 후 에 나갑니다
※당사는 중고폰 도,소매 전문으로 재고가 없을 시 가장 빠른 수급이 
  가능합니다. 찾으시는 기종이 없으실 경우 편하게 문의해주세요.
※근거리는 가능한 매장으로 오셔서 직접 기기를 확인하시고 
    구입하시는 것을 추천드립니다.
※ 분실/도난/침수폰은 절대 판매 및 취급 하지 않습니다.
※ 물건 받으시고 내용과 틀릴 경우 무조건 반품 받습니다.

▶▶수령방법◀◀
◈택배거래 : 16:30분 이전 입금 시 당일 발송
◈ 배송은 다음날 받아보실 수 있도록 최대한 빨리 배송해드리겠습니다.
◈ 퀵 서비스 가능.
◈  부산 범일역 2번출구 부근"
갤럭시s10e 128기가,185000,2시간 전,"☆상품상세☆


- 색상 :화이트


- 용량 : 128기가


- 상태:   (실사사진참고)
S급: 전체적인 컨디션이 아주좋음


- 개통통신사 : skt

( SKT/ KT/ LG/3사, 선불유심 및 알뜰 유심 모두 사용가능


- 최초통화일 : 19.10


- 구성 : 폰단품

케이스와필름은 미리 말씀하시면 챙겨드립니다
(간혹 기종에따라 재고소진인경우도 있음)


- 정상해지/확정기변/25%약정할인가능


- 직거래: 잠실동35번지(2호선잠실새내역 인근) (매장없음)

후기작성 약속시 폰스트립이나 고속충전기 서비스로 챙겨드립니다

- 택배 :당일택배가능.(완충제 충분히 사용하여 파손위험 없이 보내드립니다) 선불3500원or착불

고속버스터미널 지방버스 퀵 당일배송가능"
갤럭시A12 32기가 ssss급!!22년7월개통!! 0704-9,130000,2시간 전,"■중고폰 다량보유!! 찾으시는 제품있으시면 편하게 문의주세요^^■

■제품정보■
​
모든제품 기능검사 철저하게 진행하고있습니다.
​
최저가로 최상의 제품을 모시겠습니다.
​

*기기명: 갤럭시A12 A125 32기가 (공신폰X)

*제품번호:  0704-9

*색상:블랙

*최초통신사: KT
*3사호환가능  (LG/ KT/ SK/알뜰폰,선불폰 가능)

*최초개통일: 22년7월1일(무상as남음)


■제품상태■

*액정 깨끗하며 기스,찍힘 없이 전체적으로 깨끗합니다.

*잔상 없습니다.

​*구성품: 휴대폰단품, 액정필름,투명케이스, 무료배송
                   *재고없을시 단품발송.
​
■제품설명■

*유심 꽂으면 바로 사용가능
​
*유심기변,기존 가입된 25프로 선택약정 가능

*구입후 7일이내 기능 이상시 교환,환불가능합니다(단순변심,고객과실 제외)

■거래방식■
​
*택배 또는 직거래(경기도 광주 매장방문->율동공원 5분거리)
​
*택배이용시 택배비 무료
​
* 오후 4시까지 결제시 당일발송!!

■업체 정보및 연락처■

*주소지:경기도 광주시 오포읍 능평로 47  호박마켓

* 0.1.0.4.9.7.9.4.4 8.8으로 연락 주세요^^"
V50s 블랙 9만 정상해지,90000,2시간 전,"★★★★★ 안전결제 가능 ★★★★★

1. 제품정보

기기명 - V50s  
용량 - 256g
최초가입통신사 - KT ( 모든통신사 사용가능 )
최초개통일 - 보증기간만료
가격 - 9만
구성품 -  X

2. 제품설명

외관 큰상처없고 깨끗합니다.
잔상 있습니다. 사진참고

화면 켰다 껐다 할때 화면 잠깐 깜박거림
화면 껐을때 시계화면 남아있는동안 
잠깐에 화면 깜박임 현상 있습니다.
실사용시 문제는 없습니다.

★ 사진 잘보시고 연락주세요.
다른 기능상 하자는 없습니다.^^
단품 입니다.
구성품 어떤거 있냐고 묻지마세요~~^^
선택약정 25% 가능
IMEI 번호 원하시면 보내드립니다.
유심만 넣고 바로 사용하시면 됩니다.^^
★ 네고문의는 받지 않습니다.
추가로 궁금하신점은 연락주세요~

3. 거래방식
직거래- 택배- 퀵서비스  가능
택배는 착불로 가능합니다. 
선불시 4천원 추가해주심 됩니다.

★  예약은 선입금 1만원이나 직거래 출발시 가능합니다.
      중복으로 구매문의가 오는 관계로 
      선입금순으로 판매되는점 양해바랍니다.

4. 직거래 장소 및 연락처

주소 - 서울시 노원구 중계동 (하계역 근처)
출발전 연락주시고 오심됩니다.

0I0 6305 3653"
Z플립1 256GB,290000,2시간 전,"제품정보
Z플립1 256GB

( SK / KT / LG / 알뜰폰 모두 유심만 꽂아서 사용가능 합니다)
최초통신사: LG

가격 : 29만원

제품설명
화면 꺠끗하구요 전체적으로 상태좋습니다

2주안에 기기문제있을시 교환,환불가능합니다

그 이후로는 불가능합니다

고객님의  부주의로 인한  불량  파손  침수불량 으로

인한  교환 및 환불요청시  불가 합니다

택배거래,직거래 가능합니다

직거래는 수원역입니다"
갤럭시노트10 N971 KT 레드 256GB 26만 01206 /수원,260000,2시간 전,"1.제품 > 갤럭시노트10 N971 KT 레드 256GB 26만
2.제품번호 > 01206 (구매시 꼭 제품번호 말씀해주세요)
2.통신사 > KT  (정상해지,호환가능,25%요금할인)
3.가격 > 26만
4.특이사항 > 외관(사진첨부)/기능문제(없음)/20190919개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
갤럭시S10 LTE 외관A+ 상태굿,229000,2시간 전,"송내역 언니중고폰★0.1.0.2.3.0.3.2.3.6.9★


*상품명:갤럭시s10 lte
*색상:화이트.그린
*용량:128/512
*선불폰.알뜰폰가능 / 통신사3사 가능
*무잔상A급128기가-22.9만
 무잔상A급512기가-25만
   
º후기작성시 케이스.필름서비스

º일주일이내에 기능이상시 무상AS가능.교환환불가능

º직거래.퀵.택배(당일방송) 가능"
당일발송 사은품8종 갤럭시노트9 중고폰 등급별 최저가 판매!,149000,2시간 전,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!
전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••거래 방법••••••••••••
직거래: 
동대문역사문화공원역 5번출구 도보 3분입니다!!
주소: 서울 중구 마른내로 155 광희동금호트윈오피스텔 2동 901호 (방문전 연락주세요!) 
평일: 오후 1시 ~ 오후 9시(주말/공휴일은 휴무입니다!)
택배거래: 
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
접수 가능, 퀵요금 고객 부담!

••••••••••••갤럭시 노트9••••••••••••

SS급 :  259,000원 
S급 :  219,000원 
A급 : 199,000원 
B급 : 예약가능
c급 : 149,000원

••••••••••••상품 상세 정보••••••••••••
상품명: 갤럭시 노트9
용량: 128GB
색상: 미드나잇블랙,라벤더퍼플,메탈릭코퍼,클라우드실버,알파인화이트
구성 : 휴대폰
통신사 : SKT/KT/LGU+3사 유심변경가능 (사용하던 유심 바로 꽂아 사용가능)
25%약정할인가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 외관 사용감 다소 있지만 가장 많이 선호하는 등급!!
B급: 외관 사용감 많고 강한 잔상이 있는 상품, 가성비짱!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••필독사항••••••••••••
* 전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!
* 문의하실 때 상품번호를 알려주시면 신속한 상담 가능!
* 구매일로부터 7일 이내 기능 이상이 발생 시 교환 또는 환불 가능(고객 과실에 의한 부분 제외)
* 단순변심으로 인한 교환/환불 불가합니다!
* 분실/도난 핸드폰은 판매하지 않습니다!
* 사용하시던 중고폰 최고가로 매입해드립니다!

••••••••••••연락 방법••••••••••••
채팅 또는 전화/문자 상담 가능합니다!
전화번호 : 01o 9976 4926
궁금하신 사항이 있으시면 언제든지 연락주세요!"
아이폰 11  256GB  블랙 단품,540000,2시간 전,"✔️ 정상해지된공기기 통신3사개통가능 

✔️25%선택약정가능 

✔️배터리성능  85%

✔️ 사진 실사이구요  폰 전체적으로  사용감과 생활기스 존재함

✔️테두리 두군에 까임  좀 있고   액정 상단쪽 정말미세한기스 있고 뒷판또한 생활기스  있음

✔️중고상 사용감은 있구요 신중구매부탁드려요 

✔️폰 구매  사은 품 으로는 케이스  필름 나감

✔️평일오후5시까지 주문 가능하구요  5시 30 까지 일괄배송 나갑니다

✔️송장은 5시 30분에서 6시 사이에 입력해드립니다

✔️언제든 문의 주세요"
갤럭시노트20 울트라 A급 256GB 브론즈 14844,580000,2시간 전,"상품번호: 14844
★상품문의 O1O-8061-8026
♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ 

○기기단품 
○외관등급 : A급(사용감있음)
○잔상: 무잔상
○용량 : 256GB
○색상 : 브론즈
○최초통신사 : LGU+
○최초통화일 : 20.08.14
○25%선택약정가능 / 공기계
----------------------------------------------------
●제품설명●
기기상태는 사진과 동일합니다
외관등급 A급 , 무잔상 기기입니다
SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능
5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능
‐---------------------------------------------------
☆상품문의 O1O-8061-8026

◎모든 제품은 구매시 소독하여 발송합니다
◎거래방식
직거래:인천 주안역
택배거래:평일 16:00이전 입금확인시 당일발송"
16356 갤럭시S10 G973 128기가 화이트 정상해지 공기계 22만,220000,2시간 전,"16356 갤럭시S10 G973 128기가 화이트 정상해지 공기계 22만


1. 제품정보 
- 기기명: 갤럭시S10
- 색상: 화이트
- 최초통신사: LG
- 최초통화일: 19.11.12
- 제품상태: 기기상태와 잔상은 사진과 동일하니 첨부된 사진 참고바랍니다.
- 가격: 220,000원
- 구성품: 기기단품

​2. 제품설명
- 통신3사(SK,KT,LG) 호환 가능하고 기능상 문제없는 정상제품 입니다.
- 정상해지 기계이며 선택약정 25% 할인 가능 합니다.

3. 거래방식
- 수원시청역 직거래 or 택배거래(선불 3000원)"
갤럭시A51 5G A516 SK 블랙 128GB 17만 82233 /수원,170000,2시간 전,"1.제품 > 갤럭시A51 5G A516 SK 블랙 128GB 17만
2.제품번호 >> 82233 (구매시 꼭 제품번호 말씀해주세요)
3.통신사 > SK (정상해지,호환가능,25%요금할인)
4.가격 > 17만
5.특이사항 > 외관(사진첨부)/기능문제(없음)/20200516개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
갤럭스 S21 40만원 판매,400000,2시간 전,"네고 문의 답장 안합니다. 내용 필히 확인해주시고나서 연락주세요.
번개톡 확인 못하는 경우 많습니다.

연락처 : O1O 5049 팔878 

-. 상품번호 : 16780
-. 모델 및 저장 공간 :   S21 256GB
-. 색상 : 화이트
-. 통신사 및 개통일 : U+ 21년 3월
-. 25% 선택약정 가능
-. SK / KT / U+ 3사 호환가능

-. 전체적으로 깨끗함 잔상 없는 무잔상입니다.
 
-. 일반필름+케이스 = 5천 추가 가능
-. 우레탄필름+케이스 = 8천 추가 가능

저가마진으로 제공이 힘듭니다. 양해바랍니다. 

-. 구입 후 7일 이내 불량시 과실 제외 교환 / 환불 / 수리 가능합니다.
-. 분실 / 도난 / 침수 휴대폰은 절대 취급하지 않습니다.

-. 가격 : 직거래  40만원 / 택배거래 40만 4천원입니다.  

-. 거래방식 : 직거래 or 택배거래    
   직거래 및 자차이용시 서울시 광진구 테크노마트 6층 A-64호
   방문전 미리 연락처로 연락후 방문 바랍니다.
    안전거래 시 수수료 .택배비는 구매자부담입니다.
    8시 이후 하남 / 미아 직거래 가능"
갤럭시S20플러스 256GB 판매합니다,360000,2시간 전,"- 모델명 : 갤럭시S20플러스
- 용량(기가수) :256
- 색상 : 그레이
#통신호환 : SKT , KT , LG U+ , 선불폰 , 알뜰폰 모든 유심 가능합니다 (20%선택약정할인 및 확정기변가능) 

#정상해지여부 : O

#거래방식 : 직거래/택배거래/퀵거래

#직거래가능지역 : 서울강서,양천구/부천전지역/인천계양,부평

●터치,카메라,소리,기능 점검 완료 이상 없습니다!

●중고 휴대폰 특성상 미세한 실기스는 있을수 있습니다 새폰같은 중고폰이지 새폰 아닙니다

●구성품은 기기단품 입니다

●택배거래는 CJ대한통운과 우체국택배로 오후5시30까지 입금해주시면 당일 수거전 발송되어 제주도외 전국 어디든지 다음날 수령 가능하십니다~"
갤럭시노트20 A급 256GB 레드 17782,390000,2시간 전,"상품번호: 17782
★상품문의 O1O-8061-8026
♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ 

○기기단품 
○외관등급 : A급(사용감있음)
○잔상: 무잔상
○용량 : 256GB
○색상 : 레드
○최초통신사 : KT
○최초통화일 : 20.10.23
○25%선택약정가능 / 공기계
----------------------------------------------------
●제품설명●
기기상태는 사진과 동일합니다
외관등급 A급 , 무잔상 기기입니다
SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능
5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능
‐---------------------------------------------------
☆상품문의 O1O-8061-8026

◎모든 제품은 구매시 소독하여 발송합니다
◎거래방식
직거래:인천 주안역
택배거래:평일 16:00이전 입금확인시 당일발송"
노트9 블랙 15만 정상해지,150000,2시간 전,"★★★★★ 안전결제 가능 ★★★★★

1. 제품정보

기기명 - 노트9  N960
용량 - 128g
최초가입통신사 - SKT ( 모든통신사 사용가능 )
최초개통일 - 보증기간만료
가격 - 15만
구성품 - x

2. 제품설명

약한기스들정도외 외관 큰상처없고 깨끗합니다.
잔상 약하게 있고
LCD 하단쪽 먼지만한 작은 점    사진참고

★ 사진 잘보시고 연락주세요.
다른 기능상 하자는 없습니다.^^
단품 입니다.
구성품 어떤거 있냐고 묻지마세요~~^^
선택약정 25% 가능
IMEI 번호 원하시면 보내드립니다.
유심만 넣고 바로 사용하시면 됩니다.^^
★ 네고문의는 받지 않습니다.
추가로 궁금하신점은 연락주세요~

3. 거래방식
직거래- 택배- 퀵서비스  가능
택배는 착불로 가능합니다. 
선불시 4천원 추가해주심 됩니다.

★  예약은 선입금 1만원이나 직거래 출발시 가능합니다.
      중복으로 구매문의가 오는 관계로 
      선입금순으로 판매되는점 양해바랍니다.

4. 직거래 장소 및 연락처

주소 - 서울시 노원구 중계동 (하계역 근처)
출발전 연락주시고 오심됩니다.

0I0 6305 3653"
#한정판매# 아이폰XS 64GB 골드 중고폰공기계 [66489],325000,2시간 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. 
✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.
✔매달 진행하는 이벤트를 꼭 확인해주세요. 


★ 번개장터 구매고객 특별이벤트 ★

🔴구입후 중고폰 100일 제품 보증
🔴최고급 사은품 무료 증정
🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)
🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!
🔴코로나 시대 소독 세척 실시!

           
💟한정 후기 이벤트💟

💟최고급 10종 사은품 증정  이벤트   💟              
    
[최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링
+제품 보증100일+무료배송)]

♨대량구매 문의 대환영♨
[제품정보]

용량: 64GB
색상: 골드
제품등급: A+급
배터리 효율:상세사진 참고
상태: 상세사진 참고

⚠️통신사 : SKT/KT/LGU+3사 유심변경가능
(사용하던 유심 바로 꽂아 사용가능)

⚠️확정기변/25%약정할인가능(알뜰유심,선불유심 전부사용가능) 문의주세용!!


🔻 거래방법 🔻

⚡ 택배거래  가능  ⚡
⚡ 퀵 서비스 가능  ⚡
⚡ 직거래      가능  ⚡


📦 택배거래 📦

당사는 로젠택배를 통하여
매일 PM 19:00 배송 나갑니다 
18:00 시전으로 구매확정 하시면 당일배송출발
택배비 지원해드립니다


📦번개페이📦

번개장터 번개페이 결제시

※ 반드시 판매자 사전 협의 이후 결제 부탁 드립니다 ※


📞 직거래 📞

직거래위치는 강남구청역 입니다 
매장방문은 2번출구 바로 뒷편 건물 10층
지번주소: 강남구 논현동 241-7 10층


★ 직거래 구매시 매장 방문 시간은 ★

  평일:오전 11:00시부터~오후7시30분 

💟💟13:00~14:30 점심시간입니다. [해당시간만 피해주세요!]💟💟


 


                 ⚠️ 필독사항 ⚠️

✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능

✔️ 기능상 문제가 아닌, 단순변심으로는
       교환&환불 절대 불가합니다.

✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다

✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다
     
✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다


★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시A50 A505 SK 블랙 64GB 12만 37643 /수원,120000,2시간 전,"1.제품 > 갤럭시A50 A505 SK 블랙 64GB 12만
2.제품번호 >> 37643 (구매시 꼭 제품번호 말씀해주세요)
3.통신사 > SK (정상해지,호환가능,25%요금할인)
4.가격 > 12만
5.특이사항 > 외관(사진첨부)/기능문제(없음)/20200402개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
배터리92 A+급 아이폰X 64G 스페이스그레이 (31),250000,2시간 전,"안녕하세요 LL모바일 입니다!☺️
좋은상품과 친절한 서비스로 보답하겠습니다.
LL모바일 프로필 누르시고 상품 누르시면 
올려놓은상품 전~~부 보입니다!

🔸모델 : 아이폰X 64G 
🔸통신 : (3사호환가능)
🔸색상 : 스페이스그레이
🔸기능 : 이상없음
🔸상태 : A+급(액정사설수리 되었습니다)
🔸가격 : 25만원
🔸구성 : 기기+액정보호필름+투명젤리케이스

☝🏻해당제품은 정상해지 공기계 입니다
✌🏻모든 기능 / 침수 이상없는 제품입니다 
🤟🏻핸드폰 구입시 기존핸드폰 고가 매입합니다
 

🎀후기EVENT
후기를 작성해주시면 
이 모든 사은품을 만원에 챙겨드립니다
(강화필름/케이스/케이블/어답터/그립톡/  
   유심핀/무선충전기/보조배터리)


🎀액정보호필름 할인EVENT
아이폰구매자에 한해서 저렴히 판매합니다
풀커버필름 : 3,000원
프라이버시필름 : 5,000원 

⭐️거래방법⭐️
 ✔️직거래:분당 서현역매장(자세한 위치는  
             번개채팅으로 문의부탁드립니다)

✔️택배거래:배송비3천원(09:00 ~ 15:00
                 결제완료 택배건은 당일출고됩니다)

 ✔️그외:지하철퀵/오토바이퀵
         본인부담으로 가능합니다

 ✔️예약거래 :예약을 원하시는분께서는 판매가의
      20% 선입금완료시 다른 구매희망자에게 판매가 보류되며,
      구입시 예약금을 제외한 차액만 결제해주시면 됩니다.
      (단,예약 후 구매안할시 예약금은 환불되지않습니다)

🎀SK KT LGU+ 최신폰,무료폰,전기종 상담가능
  새핸드폰 최저가 상담 및 즉시개통 업무 가능합니다!

  내가 쓰던 요금 그대로! 최신폰으로 변경!
  우리 가족 결합할인도 그대로!
  데이터 복원 및 백업(어플,연락처,카카오톡,인증서 등)
  쓰던폰 안에 모든 데이터 그대로 새폰으로 옮겨드립니다!
  쓰던 폰은 최고가로 매입해드립니다!


⭐️교환반품⭐️
단순 변심에 의한 반품 요청은 제품 인수일 이내에만 가능하며 
왕복 택배비 6.000원 부담하셔야 합니다.
(단순변심 환불시 판매가 20% 제외 됩니다!!)

기기 불량에 의한 교환 및 환불 의사는 반드시 제품 인수일 포함 7일 이내에 요청하셔야 
당사에서 처리 가능합니다.(고지안한 기능이상이 있을경우에만 해당)
이후 발생하는 건에 대해서는 해당 제조사 서비스센터 및 수리점 방문 하셔야 합니다"
16307 갤럭시S20 G981 128기가 화이트 정상해지 25만1.,250000,2시간 전,"16307 갤럭시S20 G981 128기가 화이트 정상해지 25만

1. 제품정보 
- 기기명: 갤럭시S20
- 색상: 화이트
- 최초통신사: KT
- 최초통화일: 20.11.03
- 제품상태: 기기상태와 잔상은 사진과 동일하니 첨부된 사진 참고바랍니다.
- 가격: 250,000원
- 구성품: 기기단품

​2. 제품설명
- 통신3사(SK,KT,LG) 호환 가능하고 기능상 문제없는 정상제품 입니다.
- 정상해지 기계이며 선택약정 25% 할인 가능 합니다.

3. 거래방식
- 수원시청역 직거래 or 택배거래(선불 3000원"
16323 갤럭시폴더2 G160 32기가 블랙 공기계 효도폰 스마트폴더폰,80000,2시간 전,"16323 갤럭시폴더2 G160 32기가 블랙 공기계 효도폰 스마트폴더폰 8만

1. 제품정보 
- 기기명: 갤럭시폴더2
- 색상: 블랙
- 최초통신사: LG
- 최초통화일: 19.01.07
- 제품상태: 기기상태는 사진과 동일하니 첨부된 사진 참고바랍니다.
- 가격: 80,000원
- 구성품: 기기단품

​2. 제품설명
- 통신3사(SK,KT,LG) 호환 가능하고 기능상 문제없는 정상제품 입니다.
- 정상해지 기계이며 선택약정 25% 할인 가능 합니다.

3. 거래방식
- 수원시청역 직거래 or 택배거래(선불 3000원)"
